-1
605038 1 12 40803    10 12 40803    31 396 40803    310 396 40803    16 1201 40803    2 1690 40803    20 1690 40803    17 1691 40803    170 1691 40803    420 2816 40803    888 4332 40803    121 4729 40803    324 6073 40803    3240 6073 40803    230 7504 40803    2313 7504 40803    189 40803 40803    1890 40803 40803    
72254 1 12 7504    10 12 7504    31 396 7504    310 396 7504    16 1201 7504    2 1690 7504    20 1690 7504    17 1691 7504    170 1691 7504    420 2816 7504    888 4332 7504    121 4729 7504    324 6073 7504    3240 6073 7504    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
19937 1 12 1691    10 12 1691    31 396 1691    310 396 1691    16 1201 1691    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 7504    888 4332 7504    121 4729 7504    324 6073 7504    3240 6073 7504    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
11612 1 12 1691    10 12 1691    31 396 1691    310 396 1691    16 1201 1691    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 4729    888 4332 4729    121 4729 4729    324 6073 7504    3240 6073 7504    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
6432 1 12 396    10 12 396    31 396 396    310 396 396    16 1201 1691    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 4729    888 4332 4729    121 4729 4729    324 6073 7504    3240 6073 7504    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
3570 1 12 396    10 12 396    31 396 396    310 396 396    16 1201 1691    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 4729    888 4332 4729    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
1657 1 12 396    10 12 396    31 396 396    310 396 396    16 1201 1691    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4729    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
889 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1691    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4729    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
399 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4729    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
2 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1691    20 1690 1691    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
0 1 12 12    10 12 12    31 396 396    310 396 396    16 1201 1201    2 1690 1690    20 1690 1690    17 1691 1691    170 1691 1691    420 2816 2816    888 4332 4332    121 4729 4729    324 6073 6073    3240 6073 6073    230 7504 7504    2313 7504 7504    189 40803 40803    1890 40803 40803    
